Day,Cash On Hand (Accumulated) (SGD)
11,597772
12,1041273
13,1385274
14,1863250
15,546074
16,1026215
17,1468504
18,2018232
19,282498
20,399078
21,649988
22,241818
23,900396
24,1376554
25,2944852
26,3617912
27,4260184
28,6415982
29,5106345
30,7128491
31,8724418
32,9387498
33,14047939
34,17844238
35,20635137
36,23108404
37,20408459
38,20767256
39,21097062
40,21814695
41,23296100
42,24173616
43,25728430
44,30047127
45,33651512
46,36188109
47,36436809
48,36682041
49,37479540
50,37806031
51,36011146
52,38029264
53,40247963
54,42614668
55,43197722
56,42269576
57,42652132
58,43337519
59,43981426
60,45963849
61,48631215
62,49370061
63,49763296
64,49850312
65,53516401
66,55719536
67,58372814
68,57337835
69,58292599
70,63316673
71,66400964
72,71076883
73,73196066
74,74094995
75,75069495
76,77204992
77,74613621
78,75036794
79,75471173
80,77877481
81,79355903
82,79920409
83,81770282
84,89320683
85,92950995
86,93582352
87,96944187
88,98456936
89,99399428
90,99735596
